RNC EMISOR, CODIGO SIVEM, ISIN,SERIE, FECHA EMISION,FECHA VENCIMIENTO,MONEDA,TIPO TRANSACCION,TIPO CONTRATO,NEGOCIACION,TIPO MERCADO,TASA,TASA RENDIMIENTO,FECHA VALOR,CANTIDAD TITULOS,CANTIDAD VALOR NOMINAL,VALOR NOMINAL,PRECIO NEGOCIADO,VALOR NEGOCIADO,FECHA ENVIO
4-01-00755-1,SIVEMBC-241,DO1002217128,CI090224,09/02/2017,09/02/2024,DOP,C,SP,OTC,S,0.11,0.0909,05/08/2019,5000,50000000,10000,106.7117,53355826.47,20/09/2019
4-01-00755-1,SIVEMBC-141,DO1002249923,CI030120,03/01/2013,03/01/2020,DOP,V,SP,OTC,S,0.13,0.0787,05/08/2019,2311,23110000,10000,102.105,23596461.38,20/09/2019
4-01-00755-1,SIVEMBC-141,DO1002249923,CI030120,03/01/2013,03/01/2020,DOP,V,SP,OTC,S,0.13,0.0787,05/08/2019,1239,12390000,10000,102.105,12650807.29,20/09/2019
4-01-00755-1,SIVEMBC-233,DO1002216625,NO150923,15/09/2016,15/09/2023,DOP,C,SP,OTC,S,0.11,0.0897,05/08/2019,3050,30500000,10000,107.0092,32637813.01,20/09/2019
4-01-00732-2,SIVEMGC-198,USP3579EBD87,BSRD2025,27/01/2015,27/01/2025,USD,C,SP,OTC,S,0.055,0.0441,05/08/2019,41,41000,1000,106.3014,43583.5938,20/09/2019
4-01-00755-1,SIVEMBC-193,DO1002213424,CI100120,10/01/2015,10/01/2020,DOP,V,SP,OTC,S,0.105,0.081,05/08/2019,2500,25000000,10000,101.0161,25254028.28,20/09/2019
4-01-00732-2,258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.09,05/08/2019,500,50000000,100000,115.8713,57935630.82,20/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0911,05/08/2019,100,10000000,100000,109.95,10995000,20/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.09,05/08/2019,500,50000000,100000,110.67,55335000,20/09/2019
4-01-00732-2,SIVEMGC-2,DO1005206011,MH1-2032,05/03/2017,05/03/2032,DOP,V,SP,OTC,S,0.12,0.0939,05/08/2019,807,80700000,100000,119,96033000,20/09/2019
4-01-00755-1,BC-263,DO1002219322,NO261121,26/11/2018,26/11/2021,DOP,V,SP,OTC,S,0.1,0.0851,05/08/2019,390,3900000,10000,103.0455,4018773.17,20/09/2019
4-01-00732-2,SIVEMGC-224,DO1005205112,MH22026,14/01/2016,14/01/2026,DOP,C,SP,OTC,S,0.1088,0.0873,05/08/2019,750,75000000,100000,110.4169,82812675,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.09,05/08/2019,500,50000000,100000,110.6677,55333850,20/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/02/2017,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.088,05/08/2019,500,50000000,100000,113.2824,56641200,20/09/2019
